Dataset,Direction,Side,Layer,rho,Delta-MER,Delta-PIER,Delta-MatrixRet,Delta-Outside
seame_dev_man,Raw,decoder,27,0.25,0.0,0.08080808080808088,0.03686635944700456,
seame_dev_man,Raw,decoder,27,0.5,-0.11727748691099477,0.02020202020202022,0.21658986175115202,
seame_dev_man,Raw,decoder,27,1.0,-0.9099476439790575,-0.12121212121212122,0.6267281105990783,
seame_dev_man,Raw,decoder,28,0.5,-0.0732984293193717,0.08080808080808088,0.17357910906298013,
seame_dev_man,Raw,decoder,29,0.5,-0.048167539267015724,0.11111111111111116,0.1443932411674348,
seame_dev_man,Raw,decoder,30,0.5,-0.05235602094240838,0.12121212121212122,0.13978494623655924,
seame_dev_man,Raw,decoder,31,0.5,-0.028272251308900487,0.11111111111111105,0.10445468509984634,
seame_dev_man,Raw,encoder,0,0.5,0.040837696335078555,0.030303030303030276,-0.06451612903225812,
seame_dev_man,Raw,encoder,1,0.5,-1.7895287958115182,0.04040404040404033,-0.06912442396313367,
seame_dev_man,Raw,encoder,2,0.25,-0.021989528795811508,0.02020202020202022,-0.053763440860215006,
seame_dev_man,Raw,encoder,2,0.5,-1.5696335078534034,0.07070707070707072,-0.07219662058371734,
seame_dev_man,Raw,encoder,2,1.0,-3.182198952879581,-0.06060606060606066,0.11981566820276501,
seame_dev_man,Raw,encoder,3,0.5,-1.582198952879581,0.07070707070707072,-0.05222734254992323,
seame_dev_man,Raw,encoder,4,0.5,-1.7801047120418847,0.030303030303030276,-0.11059907834101379,
seame_dev_man,Raw,encoder,5,0.5,-1.442931937172775,0.010101010101010166,-0.11213517665130568,
seame_dev_man,Raw,encoder,6,0.5,-1.8806282722513088,0.010101010101010166,-0.10906298003072201,
seame_dev_man,Raw,encoder,7,0.5,-1.9518324607329844,0.02020202020202022,-0.09216589861751157,
seame_dev_man,Raw,encoder,8,0.5,-1.5308900523560207,0.010101010101010166,-0.10291858678955457,
seame_dev_man,Raw,encoder,9,0.5,-1.7350785340314134,-0.02020202020202022,-0.07373271889400923,
seame_dev_man,Raw,encoder,10,0.5,-0.6534031413612567,-0.02020202020202022,-0.07219662058371734,
seame_dev_man,Raw,encoder,11,0.5,-0.757068062827225,0.07070707070707072,-0.04761904761904767,
seame_dev_man,Raw,encoder,12,0.5,-1.1424083769633508,-0.02020202020202022,-0.032258064516129115,
seame_dev_man,Raw,encoder,13,0.5,-1.0219895287958114,-0.14141414141414144,0.09984639016897079,
seame_dev_man,Raw,encoder,14,0.5,-1.5507853403141363,-0.19191919191919193,0.23655913978494625,
seame_dev_man,Raw,encoder,15,0.5,-1.3727748691099477,-0.18181818181818177,0.1981566820276498,
seame_dev_man,Raw,encoder,16,0.25,-0.2701570680628272,-0.010101010101010166,-0.02611367127496156,
seame_dev_man,Raw,encoder,16,0.5,-1.2450261780104712,-0.18181818181818188,0.25806451612903225,
seame_dev_man,Raw,encoder,16,1.0,-1.050261780104712,-0.19191919191919193,0.6866359447004609,
seame_dev_man,Raw,encoder,17,0.5,-1.3706806282722512,-0.2222222222222222,0.30261136712749614,
seame_dev_man,Raw,encoder,18,0.5,-1.2083769633507853,-0.2222222222222222,0.29646697388632876,
seame_dev_man,Raw,encoder,19,0.5,-0.9905759162303664,-0.23232323232323226,0.47619047619047616,
seame_dev_man,Raw,encoder,20,0.5,-0.3151832460732984,-0.2525252525252526,0.45007680491551455,
seame_dev_man,Raw,encoder,21,0.25,-0.3015706806282723,-0.1515151515151515,0.23502304147465436,
seame_dev_man,Raw,encoder,21,0.5,-0.3790575916230366,-0.2727272727272727,0.5683563748079876,
seame_dev_man,Raw,encoder,21,1.0,-0.3078534031413612,-0.18181818181818177,0.6436251920122887,
seame_dev_man,Raw,encoder,22,0.5,-0.17068062827225128,-0.24242424242424243,0.43778801843317966,
seame_dev_man,Raw,encoder,23,0.5,-1.7947643979057593,-0.2828282828282829,0.565284178187404,
seame_dev_man,Raw,encoder,24,0.5,-0.6397905759162303,-0.2828282828282829,0.717357910906298,
seame_dev_man,Raw,encoder,25,0.5,-0.631413612565445,-0.29292929292929293,0.642089093701997,
seame_dev_man,Raw,encoder,26,0.5,-0.8502617801047121,-0.2727272727272728,0.6559139784946237,
seame_dev_man,Raw,encoder,27,0.5,-0.593717277486911,-0.3535353535353535,0.5852534562211982,
seame_dev_man,Raw,encoder,28,0.5,-0.5790575916230367,-0.2727272727272727,0.45775729646697394,
seame_dev_man,Raw,encoder,29,0.5,-0.5308900523560209,-0.29292929292929293,0.6251920122887864,
seame_dev_man,Raw,encoder,30,0.5,0.056544502617801085,-0.31313131313131315,0.5837173579109063,
seame_dev_man,Raw,encoder,31,0.5,0.13193717277486916,-0.29292929292929293,0.6973886328725039,
seame_dev_sge,Raw,decoder,0,0.25,-0.004602991944764101,0.0,0.008333333333333304,
seame_dev_sge,Raw,decoder,0,0.5,-0.010356731875719227,-0.03409090909090906,0.011666666666666603,
seame_dev_sge,Raw,decoder,0,1.0,-0.3164556962025316,-0.06818181818181812,0.18833333333333335,
seame_dev_sge,Raw,decoder,1,0.5,-0.0034522439585730758,-0.045454545454545414,0.008333333333333415,
seame_dev_sge,Raw,decoder,2,0.25,-0.010356731875719227,-0.011363636363636354,0.013333333333333308,
seame_dev_sge,Raw,decoder,2,0.5,-0.0069044879171461515,-0.045454545454545414,0.010000000000000009,
seame_dev_sge,Raw,decoder,2,1.0,-0.21403912543153047,-0.06818181818181812,0.15166666666666662,
seame_dev_sge,Raw,decoder,3,0.5,-0.011507479861910253,-0.03409090909090906,0.013333333333333308,
seame_dev_sge,Raw,decoder,4,0.5,-0.010356731875719227,-0.045454545454545414,0.01666666666666672,
seame_dev_sge,Raw,decoder,5,0.5,-0.0069044879171461515,-0.03409090909090906,0.00666666666666671,
seame_dev_sge,Raw,decoder,6,0.5,-0.016110471806674354,-0.045454545454545414,0.02499999999999991,
seame_dev_sge,Raw,decoder,7,0.5,-0.02186421173762948,-0.045454545454545414,0.030000000000000027,
seame_dev_sge,Raw,decoder,8,0.5,-0.01956271576524743,-0.022727272727272707,0.029999999999999916,
