model,side,layer,cos_unique_shared,cos_unique_raw,cos_shared_raw,cos_unique_conditioning,cos_shared_conditioning,i_unique,i_shared,sigma_unique,sigma_shared,energy_A_unique,energy_B_unique,energy_A_shared,energy_B_shared,count_a,count_b,direction_hash
whisper,decoder,3,5.204170427930421e-17,-0.3026543208555483,0.27797288196797754,-0.0645850433531813,-0.006560489954936969,3,0,0.9786664215814612,0.9987047050799933,1.8601093635759802,0.48825403610249785,6.275653266557274,6.8637922453240865,453,378,sha256:d86e0b3826aab9b3c695a785bf31f7286c27b0e028ba33ff6cb1d2fc9e04c712
whisper,decoder,4,-6.591949208711867e-17,-0.22060837041300943,0.3515349065426271,-0.12408087997515363,-0.012294248445087487,3,0,0.9759047703185255,0.9980528919677971,1.8116559826251166,0.5427153395063145,5.47095825880667,5.790253247169238,453,378,sha256:3b3484694f07f904d56a2cc39be63bf9edbe4c3dc12803e96694b256bb956d3e
whisper,decoder,5,1.700029006457271e-16,-0.2613022168930248,0.29597061441756656,-0.12840949659839201,-0.050056124858557,3,0,0.9708011041023467,0.9973399891591329,2.157492460013383,0.4698108499581069,6.319704645980655,6.521725980815246,453,378,sha256:da395e5fd7594bdd48ad33febdf1067c8e2c78c8b687b1da1da66c6b15c093f9
whisper,decoder,6,-6.054184931159057e-16,0.38441186304197733,-0.19700624772924283,-0.025292908904590884,-0.05493003193916678,0,1,0.9922361517609233,0.9782860089432149,6.629324101532007,5.56403718469473,1.5312166074311195,1.267433933780103,453,378,sha256:702c35af3d5db7d5ad7c67cc087999414ef9ef804377c4ba6fc4d32bb2a60d5c
whisper,decoder,7,-1.5959455978986625e-16,0.38314930669413394,-0.3171820909840949,-0.050689660694133956,-0.09786770738263889,0,1,0.9895967889540419,0.9725046952843461,8.605286925469594,6.653125833677647,2.6600043678842695,1.2125294201951449,453,378,sha256:60389684180cb7a39074b8235b3440df57dccca38d61af7676f1604cd5d36a89
whisper,decoder,8,2.220446049250313e-16,0.2614432748205209,-0.47485044332373405,-0.078493341219568,-0.13829271970335894,0,1,0.9880073659299299,0.9697370790293887,10.095125330530259,7.713225599687831,2.7286634001371595,1.1257035554269401,453,378,sha256:d5dfdb1609460f235886ab5f25f1803a00de15ee4018caba9f575163eb32ef6b
whisper,decoder,9,-7.632783294297951e-17,0.26495657650132187,-0.46312871717177095,-0.10432013258834502,-0.11765273711667912,0,1,0.9858840618569186,0.9654908010870192,9.569183928298639,7.629680191014994,2.4554703562964244,1.1846536749215235,453,378,sha256:8277418a8c6ebbd33422ac913dad460fc4d1879ac62bf5e15cca0458e0d1fa8e
whisper,decoder,10,1.0408340855860843e-17,0.3144592981782401,-0.4187639875942286,0.0053671841175162716,-0.10019147388306113,0,1,0.9836395948401045,0.958601787708183,8.277790490462335,7.431021061667947,2.3360423653213784,1.1258102011308795,453,378,sha256:2f4e08b53edc37614d6fa2fcf14f1c477ebe67fa4d76f7df11ab26501a1f91fb
whisper,decoder,11,-1.5612511283791264e-16,0.31083850930878676,-0.3717923484630626,-0.043145324800951575,-0.09366431890820469,0,1,0.9849240919974747,0.9556141210955068,8.824205248931614,8.177027900100773,1.7706820012190692,1.1039671016307484,453,378,sha256:3ec5dc2f1f05605272273b77758321eec235f5280cef62e3136bccd2ca4b8606
whisper,decoder,12,3.0184188481996443e-16,0.3081174213924968,-0.3561057032221605,-0.06484443040988658,-0.10570576038494756,0,1,0.978937793853019,0.9423355919626748,8.896322983764913,7.781255930624509,2.3278298650256173,0.9305516227076234,453,378,sha256:4fedb51c9552558628c3a53e999402c32fd8aa8890844443bde2c3fc78bc4525
whisper,decoder,13,1.1102230246251565e-16,0.3815124519562117,0.04366365969340096,-0.04647800964132234,0.22745573447060322,0,2,0.9789525757002003,0.9267985581136309,10.637497495547482,7.9055858384354885,2.5943521550057316,1.3004718456864317,453,378,sha256:5bc31ac44256be6a6925a9a9caf831bcc75d3b0e0928d7d8864ed15ca2cb09c2
