model,side,layer,direction,comparator,cosine,angle_deg,raw_l2,unit_l2_identity,a5_norm,comparator_norm,direction_hash
whisper,encoder,29,unique_minus_shared,Raw,0.7345555214748832,42.73032841514894,0.7286213315340441,0.7286213315340441,0.9999999403953552,1.0,sha256:fa480f5e915aae04b10e6837a7fb5e0c881a4d9123ba84808bffb5bc8335a018
whisper,encoder,30,neg_shared,Raw,0.8092099312063676,35.981188768212284,0.6177217852663514,0.6177217852663514,1.0,0.9999999999999998,sha256:d7bc78657c255ffb4b76109dd2b87b228046fdf38b240f4903064821b4fe17b1
whisper,encoder,30,pos_unique,Raw,0.0579003127224102,86.68070005474992,1.372661422015119,1.372661422015119,1.0,0.9999999999999998,sha256:95dd84ae2ead1da3f4ad81fd8601975160e99163375a64596fffda7bf3604780
whisper,encoder,30,unique_minus_shared,Raw,0.6131395112765999,52.183142091421196,0.8796141036816918,0.8796141036816918,1.0,0.9999999999999998,sha256:6708bb5445e11f1ea1bf2160acad5760d2790e0ce86a87a8dafa2dbcab3db844
whisper,encoder,31,neg_shared,Raw,0.7690045533633303,39.735417420605614,0.6796991009800718,0.6796991009800718,1.0,1.0,sha256:eb4f0d7ad39b052f9b96a9649800988e81ca2e83a29e11dacb648ae895ab92a2
whisper,encoder,31,pos_unique,Raw,0.06688229981879007,86.16506376456542,1.3661022658435595,1.3661022658435595,1.0,1.0,sha256:9db12fab122cce7ce632eb2b94928422e47779e6bb1bb4be0aa514bee49ee8d4
whisper,encoder,31,unique_minus_shared,Raw,0.5910612850840167,53.767643569716945,0.9043657760720647,0.9043657760720647,1.0,1.0,sha256:a6a7d475224b071837faa0663be423226fa1a8803117faa9d142e84972d737b9
whisper,decoder,0,neg_shared,Raw,-0.16293186867413123,99.37711353200761,1.5250782638882092,1.5250782638882092,0.9999999403953552,1.0,sha256:c9011cf6c8ace94336dbbff748f5ecd7170094d87341cf8676ff4f648d373972
whisper,decoder,0,neg_shared,Conditioning,0.4402305039512646,63.88141088148181,1.0580827177664514,1.0580827177664514,0.9999999403953552,1.0,sha256:c9011cf6c8ace94336dbbff748f5ecd7170094d87341cf8676ff4f648d373972
whisper,decoder,0,pos_unique,Raw,0.03458208827873442,88.01819714773083,1.3895451851687342,1.3895451851687342,1.0,1.0,sha256:833eb0fb7efa6069e2df050b47c3ba9e75fa00a56ad2662eff6b5927e6c7e8ae
whisper,decoder,0,pos_unique,Conditioning,0.0278581731473736,88.40363772473256,1.3943757212058496,1.3943757212058496,1.0,1.0,sha256:833eb0fb7efa6069e2df050b47c3ba9e75fa00a56ad2662eff6b5927e6c7e8ae
whisper,decoder,0,unique_minus_shared,Raw,-0.09075699439745073,95.20715790819125,1.476994919666476,1.476994919666476,1.0,1.0,sha256:b243e73b15e85beb932719a1cfa0e888aebba5e67f5d9f700a056409048aabf4
whisper,decoder,0,unique_minus_shared,Conditioning,0.33098866320567766,70.67120569749787,1.1567293017445022,1.1567293017445022,1.0,1.0,sha256:b243e73b15e85beb932719a1cfa0e888aebba5e67f5d9f700a056409048aabf4
whisper,decoder,1,neg_shared,Raw,-0.25135408622475963,104.55765450155141,1.5819949996584857,1.5819949996584857,1.0,1.0,sha256:a2ac2105b02523d217c6e2f0c2a47424bd6af14afe4f5b2bc56c0a2ffc1bbe24
whisper,decoder,1,neg_shared,Conditioning,0.27857698317787505,73.82470703185821,1.2011852647028194,1.2011852647028194,1.0,1.0,sha256:a2ac2105b02523d217c6e2f0c2a47424bd6af14afe4f5b2bc56c0a2ffc1bbe24
whisper,decoder,1,pos_unique,Raw,-0.039626801456757225,92.27104310727543,1.4419617195893157,1.4419617195893157,1.0,1.0,sha256:c43c33bf523e7ca0ab1111e1eb33d3e3a7e810bc48ac271d4a125b2953d7623e
whisper,decoder,1,pos_unique,Conditioning,-0.07555480842343423,94.33310093763738,1.4666661565244934,1.4666661565244934,1.0,1.0,sha256:c43c33bf523e7ca0ab1111e1eb33d3e3a7e810bc48ac271d4a125b2953d7623e
whisper,decoder,1,unique_minus_shared,Raw,-0.2057545577659429,101.87367370180246,1.5529034460739626,1.5529034460739626,1.0,1.0,sha256:7aedb9ddab37c3d2338a5ed2d1bccf66a2d8e9880b55dac0855269773b833913
whisper,decoder,1,unique_minus_shared,Conditioning,0.1435583554827612,81.7461943469903,1.3087716708161818,1.3087716708161818,1.0,1.0,sha256:7aedb9ddab37c3d2338a5ed2d1bccf66a2d8e9880b55dac0855269773b833913
whisper,decoder,2,neg_shared,Raw,-0.29119583406455773,106.92956242897738,1.6069821484455848,1.6069821484455848,0.9999999403953552,1.0,sha256:1700cdebd52245d9aa48e1daa3ae18382f6dd0836289cb6f01fa97758a7329f7
