direction,layer,rho,wer,mer,pier,en_wer,matrix_cer,corrections,corruptions,utility,outside_harm,embed_retention,matrix_retention,energy,utility_per_energy,edits,effective_dose,direction_hash,source
Raw+Cond,0,1.0,n/a — no frozen canonical overall WER,0.7888888888888889,0.8529411764705882,1.2647058823529411,0.6231155778894473,0,9,-110.0,104,0.5263157894736842,0.43258426966292135,1063.5708589553833,-0.10342517291987453,549,2.242494699611311,sha256:15a10fd7f330711d77ccb77bbfd50f959db1e609f83dc373f7380ad1e98acdfb,NEW
Raw+Cond,0,2.0,n/a — no frozen canonical overall WER,0.937037037037037,0.9558823529411765,0.9558823529411765,0.9296482412060302,0,16,-180.0,174,0.15789473684210525,0.07865168539325842,77.18105888366699,-2.332178420502229,29,4.484989399222622,sha256:15a10fd7f330711d77ccb77bbfd50f959db1e609f83dc373f7380ad1e98acdfb,NEW
Raw,0,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,125.81192034482956,0.0,231,0.5606236749028277,sha256:dffe5b594e4679730bc0611e2af9203e842d6373570de720e45b3d3e284e5141,NEW
Raw,0,0.5,n/a — no frozen canonical overall WER,0.26296296296296295,0.6911764705882353,0.6911764705882353,0.10552763819095477,2,0,2.0,0,1.0,1.0,234.7869238257408,0.0085183619573482,230,1.1212473498056554,sha256:dffe5b594e4679730bc0611e2af9203e842d6373570de720e45b3d3e284e5141,NEW
Raw,0,1.0,n/a — no frozen canonical overall WER,1.525925925925926,0.9705882352941176,1.0,1.7135678391959799,0,17,-106.0,100,0.10526315789473684,0.5,1016.8260878324509,-0.10424594851412419,554,2.242494699611311,sha256:dffe5b594e4679730bc0611e2af9203e842d6373570de720e45b3d3e284e5141,NEW
Raw,0,2.0,n/a — no frozen canonical overall WER,1.5148148148148148,0.9852941176470589,0.9852941176470589,1.7035175879396984,0,18,-176.0,170,0.05263157894736842,0.11235955056179775,701.8921754360199,-0.2507507650881956,248,4.484989399222622,sha256:dffe5b594e4679730bc0611e2af9203e842d6373570de720e45b3d3e284e5141,NEW
Conditioning,1,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,209.29547452926636,0.0,231,0.9031344096699881,sha256:16799ec0156067f315524495437f5a348b9bb9cdb39d80367b712ad38fca319b,NEW
Conditioning,1,0.5,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,408.3733409643173,0.0,232,1.8062688193399763,sha256:16799ec0156067f315524495437f5a348b9bb9cdb39d80367b712ad38fca319b,NEW
Conditioning,1,1.0,n/a — no frozen canonical overall WER,0.31851851851851853,0.8823529411764706,0.8823529411764706,0.11557788944723618,0,11,-13.0,7,0.42105263157894735,0.9887640449438202,718.8544924259186,-0.018084327408358948,238,3.6125376386799526,sha256:16799ec0156067f315524495437f5a348b9bb9cdb39d80367b712ad38fca319b,NEW
Conditioning,1,2.0,n/a — no frozen canonical overall WER,0.9333333333333333,0.9852941176470589,0.9852941176470589,0.914572864321608,0,18,-180.0,174,0.05263157894736842,0.0898876404494382,89.34569191932678,-2.0146466621191768,21,7.225075277359905,sha256:16799ec0156067f315524495437f5a348b9bb9cdb39d80367b712ad38fca319b,NEW
Local+Cond,1,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,206.80094820261002,0.0,231,0.9031344096699881,sha256:1c1973260156ae4948644c5bf11c4394a8b15f1dea5ad74d5a160391da70423e,NEW
Local+Cond,1,0.5,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,-1.0,1,1.0,0.9943820224719101,394.9831346273422,-0.002531753668276185,231,1.8062688193399763,sha256:1c1973260156ae4948644c5bf11c4394a8b15f1dea5ad74d5a160391da70423e,NEW
Local+Cond,1,1.0,n/a — no frozen canonical overall WER,0.3,0.8382352941176471,0.8382352941176471,0.10552763819095477,0,8,-8.0,5,0.5789473684210527,1.0,687.932208776474,-0.01162905283098817,238,3.6125376386799526,sha256:1c1973260156ae4948644c5bf11c4394a8b15f1dea5ad74d5a160391da70423e,NEW
Local+Cond,1,2.0,n/a — no frozen canonical overall WER,3.6296296296296298,0.9852941176470589,1.0,4.567839195979899,0,18,-164.0,158,0.05263157894736842,0.1797752808988764,3457.8660292625427,-0.04742809542421058,831,7.225075277359905,sha256:1c1973260156ae4948644c5bf11c4394a8b15f1dea5ad74d5a160391da70423e,NEW
Local,1,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,201.0101242661476,0.0,232,0.9031344096699881,sha256:dcf358eba772c95c522eaa71bc93a626314eb1032aeac0aed56d1e7f3005569a,NEW
Local,1,0.5,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,-1.0,1,1.0,0.9943820224719101,371.54056441783905,-0.00269149615350045,230,1.8062688193399763,sha256:dcf358eba772c95c522eaa71bc93a626314eb1032aeac0aed56d1e7f3005569a,NEW
Local,1,1.0,n/a — no frozen canonical overall WER,1.2518518518518518,0.8823529411764706,0.8823529411764706,1.3819095477386936,1,12,-95.0,93,0.3684210526315789,0.5280898876404494,1717.4490503072739,-0.05531459578553627,589,3.6125376386799526,sha256:dcf358eba772c95c522eaa71bc93a626314eb1032aeac0aed56d1e7f3005569a,NEW
